,variable_id,unit,time_cell_method,long_name,standard_name,mon,day,6hr,3hr,Comments,frequency
0,tas,K,i,Near-Surface Air Temperature,air_temperature,x,x,,x,3hr >  1hr,"mon, day, 3hr"
1,tasmax,K,,Daily Maximum Near-Surface Air Temperature,air_temperature,x,x,,,,"mon, day"
2,tasmin,K,,Daily Minimum Near-Surface Air Temperature,air_temperature,x,x,,,,"mon, day"
3,ts,K,i,Surface Temperature,surface_temperature,x,x,x,,6hr > 1hr,"mon, day, 6hr"
4,pr,kg m-2 s-1,a,Precipitation,precipitation_flux,x,x,,x,3hr > 1hr,"mon, day, 3hr"
5,prc,kg m-2 s-1,a,Convective Precipitation,convective_precipitation_flux,,x,,x,3hr > 1hr,"day, 3hr"
6,prhmax,kg m-2 s-1,,Daily Maximum Hourly Precipitation Rate,precipitation_flux,,x,,,,day
7,prsn,kg m-2 s-1,a,Snowfall Flux,snowfall_flux,x,x,,x,3hr > 1hr,"mon, day, 3hr"
8,evspsbl,kg m-2 s-1,a,Evaporation,water_evaporation_flux,x,x,x,,,"mon, day, 6hr"
9,evspsblpot,kg m-2 s-1,a,Potential Evapotranspiration,water_potential_evaporation_flux,x,x,x,," many formulas to calculate, delete?","mon, day, 6hr"
10,mrros,kg m-2 s-1,a,Surface Runoff,surface_runoff_flux,x,x,x,,,"mon, day, 6hr"
11,mrro,kg m-2 s-1,a,Total Runoff,runoff_flux,x,x,x,,,"mon, day, 6hr"
12,snm,kg m-2 s-1,a,Surface Snow Melt,surface_snow_melt_flux,x,x,x,,,"mon, day, 6hr"
13,huss,1,i,Near-Surface Specific Humidity,specific_humidity,x,x,,x,3hr > 1hr,"mon, day, 3hr"
14,hurs,%,i,Near-Surface Relative Humidity,relative_humidity,x,x,,x,3hr > 1hr,"mon, day, 3hr"
15,ps,Pa,i,Surface Air Pressure,surface_air_pressure,,x,,x,3hr > 1hr,"day, 3hr"
16,psl,Pa,i,Sea Level Pressure,air_pressure_at_sea_level,x,x,,x,do we need 1hr psl ?,"mon, day, 3hr"
17,tauu,Pa,a,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,,x,x,,,"day, 6hr"
18,tauv,Pa,a,Surface Downward Northward Wind Stress,surface_downward_northward_stress,,x,x,,,"day, 6hr"
19,sfcWind,m s-1,i,Near-Surface Wind Speed,wind_speed,x,x,,x,3hr > 1hr,"mon, day, 3hr"
20,sfcWindmax,m s-1,,Daily Maximum Near-Surface Wind Speed,wind_speed,x,x,,,,"mon, day"
21,uas,m s-1,i,Eastward Near-Surface Wind,eastward_wind,x,x,x,,6hr > 3hr,"mon, day, 6hr"
22,vas,m s-1,i,Northward Near-Surface Wind,northward_wind,x,x,x,,6hr > 3hr,"mon, day, 6hr"
23,wsgsmax,m s-1,,Daily Maximum Near-Surface Wind Speed of Gust,wind_speed_of_gust,,x,,,,day
24,clt,%,a,Total Cloud Fraction,cloud_area_fraction,x,x,,x,3hr > 1hr,"mon, day, 3hr"
25,clh,%,a,High Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,,x,x,,,"day, 6hr"
26,clm,%,a,Mid Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,,x,x,,,"day, 6hr"
27,cll,%,a,Low Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,,x,x,,,"day, 6hr"
28,sund,s,c,Duration of Sunshine,duration_of_sunshine,x,x,,x,"The WMO definition of sunshine is that the surface incident radiative flux from the solar beam (i.e. excluding diffuse skylight) exceeds 120 W m-2. ""Duration"" is the length of time for which a condition holds.","mon, day, 3hr"
29,rsds,W m-2,a,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,x,x,,x,3hr > 1hr,"mon, day, 3hr"
30,rlds,W m-2,a,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,x,x,,x,3hr > 1hr,"mon, day, 3hr"
31,rsus,W m-2,a,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,x,x,,x,3hr > 1hr,"mon, day, 3hr"
32,rlus,W m-2,a,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,x,x,,x,3hr > 1hr,"mon, day, 3hr"
33,rlut,W m-2,a,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,x,x,,x,3hr > 1hr,"mon, day, 3hr"
34,rsdt,W m-2,a,TOA Incident Shortwave Radiation,toa_incoming_shortwave_flux,x,x,,x,3hr > 1hr,"mon, day, 3hr"
