,project_id,product,domain,institute,driving_model_id,experiment_id,member,model_id,version,frequency,variable,date,host
0,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,hfss,v20131119,cordexesg.dmi.dk
1,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,clwvi,v20131119,cordexesg.dmi.dk
2,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,hfls,v20131119,cordexesg.dmi.dk
3,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,cll,v20131119,cordexesg.dmi.dk
4,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,clm,v20131119,cordexesg.dmi.dk
5,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,evspsbl,v20131119,cordexesg.dmi.dk
6,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,hurs,v20131119,cordexesg.dmi.dk
7,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,hus850,v20140917,cordexesg.dmi.dk
8,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,clt,v20131119,cordexesg.dmi.dk
9,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,rsds,v20131119,cordexesg.dmi.dk
10,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,rlds,v20131119,cordexesg.dmi.dk
11,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,rsus,v20131119,cordexesg.dmi.dk
12,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,rlus,v20131119,cordexesg.dmi.dk
13,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,rsdt,v20131119,cordexesg.dmi.dk
14,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,rsut,v20131119,cordexesg.dmi.dk
15,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,rlut,v20131119,cordexesg.dmi.dk
16,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,psl,v20131119,cordexesg.dmi.dk
17,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,ps,v20131119,cordexesg.dmi.dk
18,cordex,output,EUR-11,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,tauv,v20131119,cordexesg.dmi.dk
